模块类别,模块名称,子模块,功能描述,实施周期,当前状态
核心架构,FastAPI后端,任务管理,任务创建、查询、状态管理、取消功能,已完成,已完成
核心架构,FastAPI后端,文件管理,文件列表查询、下载、预览功能,已完成,已完成
核心架构,FastAPI后端,数据转换,MySQL数据导出、文件上传转换接口,已完成,已完成
核心架构,FastAPI后端,系统管理,JWT认证、双数据库认证、日志审计,已完成,已完成
执行器框架,Local执行器,基础框架,MockExecutor完整实现,已完成,已完成
执行器框架,NiFi执行器,API集成,NiFi REST API客户端,第1-3周,未开始
执行器框架,NiFi执行器,流程映射,真实NiFi流程配置,第1-3周,未开始
执行器框架,NiFi执行器,状态监控,流程组运行状态监控,第1-3周,未开始
NiFi集群,公司侧部署,主集群,NiFi主集群部署,第1-3周,未开始
NiFi集群,工厂侧部署,边缘节点,NiFi边缘节点配置,第1-3周,未开始
NiFi集群,集群管理,流程同步,集群间流程同步机制,第1-3周,未开始
联邦学习,Flower服务器,基础部署,Flower服务器部署,第4-6周,未开始
联邦学习,Flower服务器,编排API,联邦学习任务管理API,第4-6周,未开始
联邦学习,Flower服务器,安全机制,安全聚合、节点证书管理,第4-6周,未开始
联邦学习,Client Agent,基础框架,Client Agent开发,第4-6周,未开始
联邦学习,Client Agent,训练合约,client_train()接口定义,第4-6周,未开始
联邦学习,Client Agent,节点管理,注册、心跳机制,第4-6周,未开始
部署模式,公有化部署,数据上传,直接上传到公司数据库,第7-9周,未开始
部署模式,公有化部署,存储接口,公司数据库存储接口,第7-9周,未开始
部署模式,私有化部署,联邦训练,本地联邦训练流程,第7-9周,未开始
部署模式,私有化部署,隐私保护,差分隐私等保护措施,第7-9周,未开始
系统集成,存储迁移,Ceph迁移,本地文件系统→Ceph对象存储,第10-12周,未开始
系统集成,存储迁移,双写校验,双写一致性校验机制,第10-12周,未开始
系统集成,监控告警,生产监控,完整监控指标配置,第10-12周,未开始
系统集成,监控告警,运维手册,故障处理指南编写,第10-12周,未开始
平台融合,JetLinks集成,API对接,与JetLinks平台API对接,第10-12周,未开始
平台融合,JetLinks集成,联调测试,端到端集成测试,第10-12周,未开始
